Sn,Country,Total Case,New Case,Total Death,Total Recovered,New Recovered,Active case
1,USA,"34,561,418",+15,"620,646 ",+1,"29,052,087",
2,India,"30,458,251","+4,314","400,312 ",+41,"29,548,302","+12,215"
3,Brazil,"18,622,304",,"520,189 ",,"16,931,272",
4,France,"5,777,965",,"111,111 ",,"5,622,727",
5,Russia,"5,561,360","+23,218","136,565 ",+679,"5,035,518","+18,197"
6,Turkey,"5,430,940",,"49,774 ",,"5,300,504",
7,UK,"4,828,463",,"128,162 ",,"4,327,556",
8,Argentina,"4,491,551",,"94,772  ",,"4,092,053",
9,Colombia,"4,269,297",,"107,137 ",,"3,964,074",
10,Italy,"4,260,788",,"127,587 ",,"4,083,843",
11,Spain,"3,821,305",,"80,883 ",,"3,603,584",
12,Germany,"3,736,940",,"91,530 ",,"3,626,800","+1,100"
13,Iran,"3,232,696","+13,836","84,516 ",+127,"2,902,140","+12,201"
14,Poland,"2,880,107",+96,"75,065 ",+21,"2,652,004",+98
15,Mexico,"2,525,350","+6,081","233,248 ",+201,"2,003,477","+2,947"
16,Ukraine,"2,236,497",+696,"52,424 ",+33,"2,169,584","+1,197"
17,Indonesia,"2,228,938","+25,830","59,534 ",+539,"1,901,865","+11,578"
18,Peru,"2,057,554",,"192,687 ",,N/A,N/A
19,South Africa,"1,995,556",,"61,029 ",,"1,754,793",
20,Netherlands,"1,686,766",+941,"17,755 ",+7,"1,636,534","+2,499"
21,Czechia,"1,667,608",+164,"30,308 ",+1,"1,635,736",+9
22,Chile,"1,558,557",,"32,588 ",,"1,502,411",
23,Philippines,"1,424,518","+6,192","24,973 ",+177,"1,344,063","+2,212"
24,Canada,"1,415,310",,"26,295 ",,"1,381,943",
25,Iraq,"1,359,836","+6,378","17,256 ",+40,"1,255,203","+5,082"
26,Sweden,"1,090,880",,"14,592 ",,"1,062,551","+1,366"
27,Belgium,"1,085,885",+754,"25,180 ",+7,"1,036,831",
28,Romania,"1,080,860",+37,"33,898 ",+1,"1,045,351",
29,Pakistan,"959,685","+1,277","22,345 ",+24,"905,430","+1,110"
30,Bangladesh,"930,042","+8,483","14,778 ",+132,"825,422","+4,509"
31,Portugal,"884,442","+2,436","17,108 ",+7,"831,479","+1,255"
32,Israel,"842,218",+151,"6,429 ",,"833,664",+64
33,Hungary,"808,197",+37,"29,992 ",,"739,561",+357
34,Japan,"801,721","+1,746","14,802 ",+21,"770,008","+1,680"
35,Malaysia,"765,949","+6,982","5,327 ",+73,"694,538","+6,278"
36,Jordan,"751,937",,"9,756 ",,"735,610",
37,Serbia,"716,717",+74,"7,051 ",+4,"707,844",+138
38,Switzerland,"703,334",+158,"10,894 ",,"685,337",+716
39,Austria,"650,569",+95,"10,709 ",+3,"638,032",+123
40,Nepal,"642,053","+1,391","9,179 ",+34,"603,600","+3,451"
41,UAE,"636,245","+1,663","1,825 ",+6,"614,636","+1,638"
42,Lebanon,"545,016",,"7,854 ",,"532,776",
43,Morocco,"532,150",,"9,298 ",,"518,101",
44,Saudi Arabia,"490,464","+1,338","7,848 ",+16,"470,328","+1,208"
45,Ecuador,"459,538",,"21,605 ",,"423,688",
46,Bolivia,"441,286","+1,662","16,822 ",+55,"363,431","+2,505"
47,Kazakhstan,"428,163","+2,590","4,399 ",+24,"397,826","+1,430"
48,Tunisia,"426,879",,"15,065 ",,"356,321",
49,Paraguay,"424,998",,"13,017 ",,"373,253",
50,Greece,"423,185",,"12,691 ",,"405,408",
51,Bulgaria,"421,902",,"18,067 ",,"394,930",
52,Belarus,"419,330","+1,118","3,164 ",+11,"412,128","+1,144"
53,Panama,"404,983",,"6,552 ",,"385,671",
54,Slovakia,"391,676",+17,"12,511 ",,"378,737",+37
55,Uruguay,"370,600",,"5,619 ",,"350,291",
56,Costa Rica,"369,540",,"4,674 ",,"294,872",
57,Georgia,"368,022",+964,"5,335 ",+8,"353,231",+607
